Ward name,Old code,New code,percent_with_households_owned,population_density_persons_per_sq_km,general_fertility_rate,employment_rate,crime_rate,average_public_transport_accessibility_score,average_gcse_capped_point_scores
Croydon - Norbury,00AHGS,E05000158,59.8,"6,740",77.5,69.5,54.2,3.1,327
Croydon - Purley,00AHGT,E05000159,71.5,"3,607",58.7,74.1,78.1,2.9,346
Croydon - Sanderstead,00AHGU,E05000160,85.2,"2,071",49.8,74.9,29.6,1.7,347
Croydon - Selhurst,00AHGW,E05000161,39.8,"7,978",85.5,64.7,95.9,4.2,317
Croydon - Selsdon and Ballards,00AHGX,E05000162,90.8,"1,883",46.8,76.4,35.5,2.0,340
Croydon - Shirley,00AHGY,E05000163,73.7,"5,214",60.0,72.3,44.1,2.0,319
Croydon - South Norwood,00AHGZ,E05000164,47.9,"6,979",81.5,68.7,80.0,3.9,319
Croydon - Thornton Heath,00AHHA,E05000165,54.1,"9,853",78.4,66.8,82.0,3.3,298
Croydon - Upper Norwood,00AHHB,E05000166,55.3,"6,308",68.5,69.7,70.8,3.0,318
Croydon - Waddon,00AHHC,E05000167,49.2,"4,847",73.7,69.9,74.3,3.6,305
Croydon - West Thornton,00AHHD,E05000168,53.6,"8,925",77.8,64.6,90.3,3.1,318
Croydon - Woodside,00AHHE,E05000169,53.1,"7,727",72.3,69.0,65.0,3.7,299
Ealing - Acton Central,00AJGC,E05000170,40.3,"8,750",62.9,69.4,77.9,3.1,336
Ealing - Cleveland,00AJGD,E05000171,54.2,"6,750",62.2,68.6,47.8,3.0,339
Ealing - Dormers Wells,00AJGE,E05000172,49.1,"6,152",72.3,61.0,54.0,3.3,308
Ealing - Ealing Broadway,00AJGF,E05000173,43.4,"7,868",41.3,75.1,145.7,5.0,349
Ealing - Ealing Common,00AJGG,E05000174,46.8,"6,810",53.8,74.6,68.9,3.6,339
Ealing - East Acton,00AJGH,E05000175,36.0,"4,523",64.0,68.3,103.7,4.0,306
Ealing - Elthorne,00AJGJ,E05000176,48.2,"7,450",75.8,73.1,77.5,3.8,313
Ealing - Greenford Broadway,00AJGK,E05000177,47.6,"7,120",75.0,66.4,81.2,3.4,315
Ealing - Greenford Green,00AJGL,E05000178,63.1,"4,265",80.6,72.6,74.8,2.6,325
Ealing - Hanger Hill,00AJGM,E05000179,54.2,"4,788",56.8,71.9,60.4,3.7,330
Ealing - Hobbayne,00AJGN,E05000180,54.0,"6,523",73.1,70.6,44.2,3.1,328
Ealing - Lady Margaret,00AJGP,E05000181,69.4,"9,433",78.7,66.6,46.2,3.0,337
Ealing - Northfield,00AJGQ,E05000182,66.3,"9,133",64.1,78.6,44.5,3.4,380
Ealing - North Greenford,00AJGR,E05000183,66.5,"4,656",69.7,72.3,51.8,2.6,323
Ealing - Northolt Mandeville,00AJGS,E05000184,53.3,"5,482",75.4,67.3,63.3,3.2,303
Ealing - Northolt West End,00AJGT,E05000185,43.0,"4,371",78.6,61.9,67.5,2.5,320
Ealing - Norwood Green,00AJGU,E05000186,42.6,"3,750",67.9,57.3,91.1,2.3,309
Ealing - Perivale,00AJGW,E05000187,62.3,"4,574",70.7,71.4,73.3,2.3,340
Ealing - South Acton,00AJGX,E05000188,32.8,"9,206",67.9,68.1,88.7,4.6,321
Ealing - Southall Broadway,00AJGY,E05000189,54.6,"9,344",100.6,59.1,107.9,3.2,316
Ealing - Southall Green,00AJGZ,E05000190,51.4,"9,406",115.6,59.7,83.9,3.0,306
Ealing - Southfield,00AJHA,E05000191,57.1,"9,714",77.9,77.6,64.5,3.1,351
Ealing - Walpole,00AJHB,E05000192,56.7,"9,033",68.8,77.3,73.8,3.8,371
Enfield - Bowes,00AKGL,E05000193,55.2,"9,733",67.4,71.9,50.8,3.9,330
Enfield - Bush Hill Park,00AKGM,E05000194,78.5,"5,720",55.6,73.0,53.9,2.7,353
Enfield - Chase,00AKGN,E05000195,60.4,834,66.9,69.5,55.8,2.0,317
Enfield - Cockfosters,00AKGP,E05000196,68.7,"1,370",54.0,66.9,46.4,2.6,340
Enfield - Edmonton Green,00AKGQ,E05000197,29.7,"5,952",80.0,53.8,117.7,3.9,294
Enfield - Enfield Highway,00AKGR,E05000198,52.5,"3,576",67.5,60.1,82.4,2.5,311
Enfield - Enfield Lock,00AKGS,E05000199,49.9,"5,167",78.8,62.0,69.2,2.6,303
Enfield - Grange,00AKGT,E05000200,77.2,"4,015",53.3,74.8,59.4,3.1,364
Enfield - Haselbury,00AKGU,E05000201,50.7,"9,278",71.1,59.3,61.1,3.0,307
Enfield - Highlands,00AKGW,E05000202,74.2,"2,647",62.7,72.9,40.4,2.7,347
Enfield - Jubilee,00AKGX,E05000203,57.7,"3,782",83.2,62.2,58.8,2.5,310
Enfield - Lower Edmonton,00AKGY,E05000204,44.8,"7,682",98.2,57.9,56.2,3.2,304
Enfield - Palmers Green,00AKGZ,E05000205,63.0,"8,263",67.8,70.2,70.3,2.5,337
Enfield - Ponders End,00AKHA,E05000206,45.5,"4,771",68.5,58.0,80.6,3.3,314
Enfield - Southbury,00AKHB,E05000207,53.5,"5,172",75.1,65.0,98.8,3.1,327
Enfield - Southgate,00AKHC,E05000208,61.7,"5,537",62.0,71.1,62.6,3.1,361
Enfield - Southgate Green,00AKHD,E05000209,65.3,"5,539",57.2,70.4,43.2,3.9,348
Enfield - Town,00AKHE,E05000210,74.7,"6,955",71.0,75.9,50.3,2.6,328
Enfield - Turkey Street,00AKHF,E05000211,52.1,"6,435",78.2,60.9,74.5,2.5,306
Enfield - Upper Edmonton,00AKHG,E05000212,44.0,"6,778",66.0,58.4,120.2,3.4,291
Enfield - Winchmore Hill,00AKHH,E05000213,69.9,"4,929",58.2,75.1,43.7,2.9,351
