Ward name,Old code,New code,percent_with_households_owned,population_density_persons_per_sq_km,general_fertility_rate,employment_rate,crime_rate,average_public_transport_accessibility_score,average_gcse_capped_point_scores
Tower Hamlets - Millwall,00BGGG,E05000583,27.5,"9,860",60.0,73.6,74.4,3.4,313
Tower Hamlets - St. Dunstan's and Stepney Green,00BGGH,E05000584,19.5,"16,650",65.6,55.4,78.5,5.4,325
Tower Hamlets - St. Katherine's and Wapping,00BGGJ,E05000585,39.9,"8,633",69.2,76.5,96.0,4.4,324
Tower Hamlets - Shadwell,00BGGK,E05000586,22.8,"15,450",72.3,60.7,86.9,6.0,320
Tower Hamlets - Spitalfields and Banglatown,00BGGL,E05000587,25.7,"18,417",38.3,60.9,188.8,6.9,338
Tower Hamlets - Weavers,00BGGM,E05000588,24.3,"17,688",44.9,67.0,136.8,5.5,321
Tower Hamlets - Whitechapel,00BGGN,E05000589,20.5,"17,889",56.6,65.0,105.3,6.8,324
Waltham Forest - Cann Hall,00BHFX,E05000590,39.2,"15,833",70.7,63.8,61.2,2.9,312
Waltham Forest - Cathall,00BHFY,E05000591,28.3,"12,000",68.8,62.7,64.2,4.3,312
Waltham Forest - Chapel End,00BHFZ,E05000592,58.6,"8,056",79.4,68.9,73.0,2.9,322
Waltham Forest - Chingford Green,00BHGA,E05000593,69.1,"2,851",49.2,73.4,69.0,2.8,332
Waltham Forest - Endlebury,00BHGB,E05000594,74.3,"5,525",63.8,70.4,43.9,2.4,342
Waltham Forest - Forest,00BHGC,E05000595,50.3,"6,550",75.5,65.2,81.6,4.3,307
Waltham Forest - Grove Green,00BHGD,E05000596,45.6,"16,833",73.3,70.3,52.4,4.2,306
Waltham Forest - Hale End and Highams Park,00BHGE,E05000597,66.9,"5,196",60.8,71.1,52.1,2.5,322
Waltham Forest - Hatch Lane,00BHGF,E05000598,62.6,"4,729",66.3,69.9,64.4,2.5,326
Waltham Forest - High Street,00BHGG,E05000599,47.1,"4,726",95.4,69.4,151.3,4.4,328
Waltham Forest - Higham Hill,00BHGH,E05000600,40.8,"4,328",73.1,62.6,67.7,2.6,307
Waltham Forest - Hoe Street,00BHGJ,E05000601,39.2,"13,091",79.7,66.1,87.4,5.2,321
Waltham Forest - Larkswood,00BHGK,E05000602,68.0,"5,619",61.7,69.6,61.8,2.8,312
Waltham Forest - Lea Bridge,00BHGL,E05000603,44.5,"6,192",102.6,62.8,98.4,3.6,313
Waltham Forest - Leyton,00BHGM,E05000604,32.9,"7,400",83.8,61.5,88.2,3.8,295
Waltham Forest - Leytonstone,00BHGN,E05000605,44.5,"10,269",69.1,70.3,89.8,5.5,317
Waltham Forest - Markhouse,00BHGP,E05000606,42.8,"9,733",80.5,64.2,72.3,4.2,301
Waltham Forest - Valley,00BHGQ,E05000607,67.6,"5,900",60.4,68.1,104.1,2.4,319
Waltham Forest - William Morris,00BHGR,E05000608,46.9,"13,650",91.3,68.1,55.6,3.5,318
Waltham Forest - Wood Street,00BHGS,E05000609,43.9,"7,694",79.4,66.2,74.0,3.7,331
Wandsworth - Balham,00BJFZ,E05000610,52.8,"12,375",60.2,83.0,78.0,4.7,348
Wandsworth - Bedford,00BJGA,E05000611,44.0,"8,222",45.3,80.0,53.7,4.1,348
Wandsworth - Earlsfield,00BJGB,E05000612,45.9,"11,214",72.6,79.0,66.1,3.9,326
Wandsworth - East Putney,00BJGC,E05000613,47.5,"9,625",50.1,81.7,42.6,4.1,316
Wandsworth - Fairfield,00BJGD,E05000614,46.9,"9,967",55.0,83.9,83.6,5.5,340
Wandsworth - Furzedown,00BJGE,E05000615,53.9,"11,179",66.7,70.6,58.6,3.2,340
Wandsworth - Graveney,00BJGF,E05000616,43.9,"15,400",70.7,72.6,100.2,5.2,329
Wandsworth - Latchmere,00BJGG,E05000617,28.4,"14,182",48.2,70.6,74.6,5.9,319
Wandsworth - Nightingale,00BJGH,E05000618,50.7,"12,292",56.0,81.3,64.5,5.4,318
Wandsworth - Northcote,00BJGJ,E05000619,52.9,"8,853",67.7,83.9,101.6,5.3,342
Wandsworth - Queenstown,00BJGK,E05000620,31.2,"5,719",40.5,75.4,74.8,4.4,315
Wandsworth - Roehampton,00BJGL,E05000621,29.0,"3,864",37.3,59.8,83.5,2.8,297
Wandsworth - St. Mary's Park,00BJGM,E05000622,41.6,"12,071",48.2,77.4,76.6,3.9,313
Wandsworth - Shaftesbury,00BJGN,E05000623,43.8,"15,944",50.0,83.0,79.8,5.5,324
Wandsworth - Southfields,00BJGP,E05000624,53.3,"10,933",76.6,80.9,69.4,3.7,338
Wandsworth - Thamesfield,00BJGQ,E05000625,54.3,"7,921",57.7,83.4,96.2,4.5,345
Wandsworth - Tooting,00BJGR,E05000626,41.0,"10,563",58.6,67.7,77.6,5.1,322
Wandsworth - Wandsworth Common,00BJGS,E05000627,61.2,"5,607",65.2,71.0,58.8,2.7,341
Wandsworth - West Hill,00BJGT,E05000628,43.7,"9,765",52.3,73.1,38.0,2.8,309
Wandsworth - West Putney,00BJGU,E05000629,49.9,"8,389",56.8,72.6,51.3,2.7,328
Westminster - Abbey Road,00BKGA,E05000630,42.5,"10,318",56.5,67.9,45.8,5.4,329
Westminster - Bayswater,00BKGB,E05000631,33.9,"20,700",53.3,73.9,106.3,6.5,344
Westminster - Bryanston and Dorset Square,00BKGC,E05000632,32.7,"17,643",45.5,66.6,170.5,8.0,358
Westminster - Churchill,00BKGD,E05000633,23.6,"16,750",51.0,63.4,107.6,4.9,344
Westminster - Church Street,00BKGE,E05000634,16.8,"29,750",64.8,48.7,80.9,6.7,318
Westminster - Harrow Road,00BKGF,E05000635,23.2,"24,300",57.6,63.4,67.1,5.7,333
Westminster - Hyde Park,00BKGG,E05000636,33.2,"13,000",46.1,62.4,152.6,8.0,336
Westminster - Knightsbridge and Belgravia,00BKGH,E05000637,46.1,"2,736",38.3,56.5,177.1,6.6,341
Westminster - Lancaster Gate,00BKGJ,E05000638,31.0,"22,417",39.8,71.2,150.4,7.7,349
Westminster - Little Venice,00BKGK,E05000639,39.2,"18,000",62.3,69.4,74.8,5.6,304
Westminster - Maida Vale,00BKGL,E05000640,35.6,"17,167",62.4,70.4,59.0,5.2,323
Westminster - Marylebone High Street,00BKGM,E05000641,32.1,"10,750",38.7,71.4,302.4,7.7,390
Westminster - Queen's Park,00BKGN,E05000642,22.3,"21,250",57.0,59.0,62.2,5.0,315
Westminster - Regent's Park,00BKGP,E05000643,37.6,"5,326",44.9,62.4,66.6,5.2,297
Westminster - St. James's,00BKGQ,E05000644,25.9,"3,271",33.0,67.7,990.0,7.6,353
Westminster - Tachbrook,00BKGR,E05000645,26.0,"20,750",37.7,75.2,57.7,6.6,368
Westminster - Vincent Square,00BKGS,E05000646,32.2,"14,714",42.7,69.0,82.4,6.9,326
Westminster - Warwick,00BKGT,E05000647,33.9,"15,917",38.1,73.8,138.1,7.2,310
Westminster - Westbourne,00BKGU,E05000648,21.1,"18,500",54.5,59.0,75.5,4.9,339
Westminster - West End,00BKGW,E05000649,23.7,"5,475",34.1,71.3,1212.1,8.0,363
City of London,00AA,E09000001,42.3,"2,538",38.4,79.6,656.4,7.9,355
Barking and Dagenham,00AB,E09000002,46.4,"5,174",85.5,62.6,82.9,3.0,307
Barnet,00AC,E09000003,57.6,"4,265",63.4,70.0,61.6,3.0,339
Bexley,00AD,E09000004,72.5,"3,679",62.1,72.9,50.0,2.6,323
Brent,00AE,E09000005,42.9,"7,406",70.6,66.7,77.1,3.7,319
Bromley,00AF,E09000006,70.9,"2,114",62.2,74.4,61.2,2.8,337
Camden,00AG,E09000007,32.2,"10,482",45.5,65.3,124.7,5.7,319
Croydon,00AH,E09000008,58.8,"4,313",69.5,70.3,75.7,3.2,317
Ealing,00AJ,E09000009,51.1,"6,209",68.8,69.1,75.6,3.3,324
Enfield,00AK,E09000010,57.9,"3,922",69.5,65.7,70.6,3.0,321
Greenwich,00AL,E09000011,43.3,"5,210",71.1,66.8,74.4,3.4,316
Hackney,00AM,E09000012,23.8,"13,472",61.5,65.8,101.1,4.9,321
Hammersmith and Fulham,00AN,E09000013,34.0,"10,552",52.4,71.4,106.2,4.7,318
Haringey,00AP,E09000014,38.8,"8,888",63.3,67.5,83.8,4.3,320
Harrow,00AQ,E09000015,65.2,"4,872",70.0,70.0,50.3,2.9,337
Havering,00AR,E09000016,73.7,"2,119",63.8,72.8,62.5,2.5,318
Hillingdon,00AS,E09000017,62.9,"2,485",68.8,69.9,67.2,2.4,323
Hounslow,00AT,E09000018,50.1,"4,670",73.3,70.8,75.0,3.0,327
Islington,00AU,E09000019,28.4,"14,532",46.0,67.5,114.1,5.7,320
Kensington and Chelsea,00AW,E09000020,35.6,"12,573",49.5,67.7,115.5,5.8,332
Kingston upon Thames,00AX,E09000021,64.1,"4,466",54.4,72.9,55.7,2.9,345
Lambeth,00AY,E09000022,33.0,"11,517",53.0,72.9,104.8,5.0,316
Lewisham,00AZ,E09000023,42.4,"8,097",68.1,69.4,78.0,4.1,308
Merton,00BA,E09000024,59.3,"5,460",70.9,74.3,57.1,3.4,331
Newham,00BB,E09000025,33.3,"8,384",80.1,60.3,91.0,3.9,313
Redbridge,00BC,E09000026,63.6,"5,135",71.4,66.5,69.5,3.0,339
Richmond upon Thames,00BD,E09000027,63.6,"3,256",69.5,76.8,55.0,3.1,350
Southwark,00BE,E09000028,29.3,"9,977",57.9,68.3,104.5,4.9,319
Sutton,00BF,E09000029,68.0,"4,480",64.0,76.0,53.1,2.9,342
Tower Hamlets,00BG,E09000030,24.2,"12,565",58.2,63.6,99.5,5.0,315
Waltham Forest,00BH,E09000031,49.9,"6,897",75.4,67.0,83.1,3.6,317
Wandsworth,00BJ,E09000032,45.5,"8,854",56.6,76.6,71.6,4.3,326
Westminster,00BK,E09000033,30.6,"10,286",48.3,66.1,238.3,6.5,330
London,H,E12000007,48.2,"5,293",64.0,69.2,83.3,3.8,324
England,921,E92000001,63.5,414,62.4,71.2,66.9,n/a,310
Source:,,,Census 2011,GLA SHLAA Trend based Population Projection data,Office for National Statistics,Census 2011,Metropolitan Police Service,Transport for London,"Department for Education (via NeSS), and GLA calculations"
